company,company_tier,total_questions,easy_pct,medium_pct,hard_pct,avg_acceptance,median_acceptance,avg_frequency,median_frequency,avg_likes,avg_dislikes,top_category,Array_pct,String_pct,Hash Table_pct,Dynamic Programming_pct,Sorting_pct,Math_pct,Two Pointers_pct,Depth-First Search_pct,Greedy_pct,Binary Search_pct,Breadth-First Search_pct,Matrix_pct,Stack_pct,Heap (Priority Queue)_pct,Tree_pct,Design_pct,Binary Tree_pct,Prefix Sum_pct,Sliding Window_pct,Simulation_pct,Linked List_pct,Bit Manipulation_pct,Graph_pct,Counting_pct,Backtracking_pct,Database_pct,Union Find_pct,Recursion_pct,Divide And Conquer_pct,Monotonic Stack_pct,Trie_pct,Queue_pct,Enumeration_pct,Ordered Set_pct,Topological Sort_pct,Memoization_pct,Doubly-Linked List_pct,Binary Search Tree_pct,Data Stream_pct,Number Theory_pct,Segment Tree_pct,Hash Function_pct,Geometry_pct,Shortest Path_pct,String Matching_pct,Bitmask_pct,Monotonic Queue_pct,Combinatorics_pct,Quickselect_pct,Bucket Sort_pct
1kosmos,Tier_C,1,0.0,100.0,0.0,63.9,63.9,100.0,100.0,832.0,41.0,Algorithms,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6sense,Tier_C,7,0.0,85.71428571428571,14.285714285714286,54.98571428571428,53.2,91.07142857142856,87.5,2246.714285714286,322.57142857142856,Algorithms,0.5714285714285714,0.0,0.14285714285714285,0.42857142857142855,0.0,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accelya,Tier_C,1,100.0,0.0,0.0,75.2,75.2,100.0,100.0,186.0,18.0,Algorithms,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accenture,Tier_A,142,45.070422535211264,47.183098591549296,7.746478873239437,59.897887323943664,59.85,52.55281690140845,50.0,11970.617021276596,1557.9929078014184,Algorithms,0.5,0.2605633802816901,0.19718309859154928,0.19014084507042253,0.11971830985915492,0.2112676056338028,0.16901408450704225,0.04225352112676056,0.07746478873239436,0.07746478873239436,0.06338028169014084,0.04225352112676056,0.056338028169014086,0.028169014084507043,0.035211267605633804,0.0,0.035211267605633804,0.04225352112676056,0.02112676056338028,0.04225352112676056,0.04225352112676056,0.028169014084507043,0.007042253521126761,0.04225352112676056,0.04225352112676056,0.056338028169014086,0.014084507042253521,0.04929577464788732,0.04929577464788732,0.04225352112676056,0.007042253521126761,0.014084507042253521,0.014084507042253521,0.0,0.0,0.014084507042253521,0.0,0.007042253521126761,0.0,0.014084507042253521,0.0,0.007042253521126761,0.0,0.0,0.014084507042253521,0.0,0.0,0.007042253521126761,0.007042253521126761,0.014084507042253521
accolite,Tier_C,20,20.0,75.0,5.0,51.79,50.9,69.375,62.5,20886.736842105263,1335.8947368421052,Algorithms,0.7,0.25,0.15,0.35,0.05,0.1,0.3,0.0,0.2,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acko,Tier_C,4,50.0,0.0,50.0,72.32499999999999,69.65,93.75,93.75,1501.25,164.5,Algorithms,0.25,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
acorns,Tier_C,1,0.0,100.0,0.0,72.6,72.6,100.0,100.0,6589.0,597.0,Algorithms,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activision,Tier_C,3,33.333333333333336,66.66666666666667,0.0,65.96666666666667,67.6,79.16666666666667,75.0,4580.0,288.3333333333333,Algorithms,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adobe,Tier_A,156,25.64102564102564,60.8974358974359,13.461538461538462,58.266666666666666,58.150000000000006,55.44871794871795,50.0,11095.045454545454,1262.435064935065,Algorithms,0.5641025641025641,0.22435897435897437,0.1987179487179487,0.15384615384615385,0.12179487179487179,0.14102564102564102,0.1282051282051282,0.10897435897435898,0.09615384615384616,0.10897435897435898,0.12179487179487179,0.09615384615384616,0.07692307692307693,0.057692307692307696,0.08974358974358974,0.05128205128205128,0.07692307692307693,0.0641025641025641,0.0641025641025641,0.03205128205128205,0.04487179487179487,0.07692307692307693,0.04487179487179487,0.05128205128205128,0.038461538461538464,0.01282051282051282,0.02564102564102564,0.04487179487179487,0.038461538461538464,0.019230769230769232,0.02564102564102564,0.019230769230769232,0.00641025641025641,0.0,0.02564102564102564,0.02564102564102564,0.00641025641025641,0.019230769230769232,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.0,0.0,0.0,0.0,0.00641025641025641,0.00641025641025641,0.01282051282051282,0.01282051282051282,0.01282051282051282
adp,Tier_C,2,50.0,0.0,50.0,39.1,39.1,81.25,81.25,8952.0,282.5,Algorithms,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
