,Array,Backtracking,Biconnected Component,Binary Indexed Tree,Binary Search,Binary Search Tree,Binary Tree,Bit Manipulation,Bitmask,Biweekly Contest 103,Biweekly Contest 134,Biweekly Contest 157,Biweekly Contest 158,Biweekly Contest 159,Biweekly Contest 160,Biweekly Contest 161,Biweekly Contest 162,Biweekly Contest 163,Biweekly Contest 164,Biweekly Contest 165,Biweekly Contest 166,Biweekly Contest 167,Biweekly Contest 168,Biweekly Contest 169,Biweekly Contest 170,Biweekly Contest 171,Biweekly Contest 172,Biweekly Contest 173,Biweekly Contest 175,Biweekly Contest 177,Biweekly Contest 178,Biweekly Contest 179,Biweekly Contest 180,Biweekly Contest 182,Biweekly Contest 81,Brainteaser,Breadth-First Search,Bucket Sort,Combinatorics,Concurrency,Counting,Counting Sort,Data Stream,Database,Depth-First Search,Design,Divide And Conquer,Doubly-Linked List,Dynamic Programming,Enumeration,Eulerian Circuit,Game Theory,Geometry,Graph,Graph Theory,Greedy,Hash Function,Hash Table,Heap (Priority Queue),Interactive,Iterator,Line Sweep,Linked List,Math,Matrix,Memoization,Merge Sort,Mid Level,Minimum Spanning Tree,Monotonic Queue,Monotonic Stack,Number Theory,Ordered Set,Prefix Sum,Principal,Probability And Statistics,Queue,Quickselect,Radix Sort,Randomized,Recursion,Rejection Sampling,Reservoir Sampling,Rolling Hash,Segment Tree,Senior,Senior Staff,Shell,Shortest Path,Simulation,Sliding Window,Sorting,Stack,Staff,String,String Matching,Strongly Connected Component,Suffix Array,Topological Sort,Tree,Trie,Two Pointers,Union Find,Union-Find,Weekly Contest 141,Weekly Contest 203,Weekly Contest 219,Weekly Contest 262,Weekly Contest 277,Weekly Contest 292,Weekly Contest 330,Weekly Contest 342,Weekly Contest 354,Weekly Contest 361,Weekly Contest 379,Weekly Contest 425,Weekly Contest 450,Weekly Contest 451,Weekly Contest 452,Weekly Contest 453,Weekly Contest 454,Weekly Contest 455,Weekly Contest 456,Weekly Contest 457,Weekly Contest 458,Weekly Contest 459,Weekly Contest 460,Weekly Contest 461,Weekly Contest 462,Weekly Contest 463,Weekly Contest 464,Weekly Contest 465,Weekly Contest 466,Weekly Contest 467,Weekly Contest 468,Weekly Contest 469,Weekly Contest 470,Weekly Contest 471,Weekly Contest 472,Weekly Contest 473,Weekly Contest 474,Weekly Contest 475,Weekly Contest 476,Weekly Contest 477,Weekly Contest 478,Weekly Contest 479,Weekly Contest 480,Weekly Contest 481,Weekly Contest 483,Weekly Contest 484,Weekly Contest 485,Weekly Contest 486,Weekly Contest 487,Weekly Contest 489,Weekly Contest 490,Weekly Contest 491,Weekly Contest 492,Weekly Contest 493,Weekly Contest 494,Weekly Contest 495,Weekly Contest 496,Weekly Contest 497,Weekly Contest 499,Weekly Contest 500,Weekly Contest 501,Weekly Contest 502,Weekly Contest 68
1kosmos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6sense,4,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accelya,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accenture,71,6,0,0,11,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,2,1,0,6,1,0,8,6,0,7,0,27,2,0,0,0,1,0,11,1,28,4,0,0,0,6,30,6,2,1,0,0,0,6,2,0,6,0,0,2,1,1,0,7,0,0,1,0,1,0,0,0,6,3,17,8,0,37,2,0,0,0,5,1,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accolite,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,4,0,3,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,2,1,2,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acko,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acorns,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activision,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adobe,88,6,0,1,17,3,12,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,19,2,2,0,8,0,1,2,17,8,6,1,24,1,1,1,0,7,0,15,0,31,9,0,2,0,7,22,15,4,0,1,0,1,3,1,0,10,0,0,3,2,0,1,7,0,0,0,1,0,1,1,0,5,10,19,12,0,35,0,0,0,4,14,4,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
