company,company_tier,total_questions,easy_pct,medium_pct,hard_pct,avg_acceptance,median_acceptance,avg_frequency,median_frequency,avg_likes,avg_dislikes,top_category
1kosmos,Tier_C,1,0.0,100.0,0.0,63.9,63.9,100.0,100.0,832.0,41.0,Algorithms
6sense,Tier_C,7,0.0,85.71428571428571,14.285714285714286,54.98571428571428,53.2,91.07142857142857,87.5,2246.714285714286,322.57142857142856,Algorithms
accelya,Tier_C,1,100.0,0.0,0.0,75.2,75.2,100.0,100.0,186.0,18.0,Algorithms
accenture,Tier_A,142,45.070422535211264,47.183098591549296,7.746478873239437,59.897887323943664,59.85,52.55281690140845,50.0,11970.617021276596,1557.9929078014184,Algorithms
accolite,Tier_C,20,20.0,75.0,5.0,51.79,50.9,69.375,62.5,20886.736842105263,1335.8947368421052,Algorithms
acko,Tier_C,4,50.0,0.0,50.0,72.32499999999999,69.65,93.75,93.75,1501.25,164.5,Algorithms
acorns,Tier_C,1,0.0,100.0,0.0,72.6,72.6,100.0,100.0,6589.0,597.0,Algorithms
activision,Tier_C,3,33.333333333333336,66.66666666666667,0.0,65.96666666666667,67.6,79.16666666666667,75.0,4580.0,288.3333333333333,Algorithms
adobe,Tier_A,156,25.641025641025642,60.8974358974359,13.461538461538462,58.266666666666666,58.150000000000006,55.44871794871795,50.0,11095.045454545454,1262.435064935065,Algorithms
adp,Tier_C,2,50.0,0.0,50.0,39.1,39.1,81.25,81.25,8952.0,282.5,Algorithms
aetion,Tier_C,1,0.0,100.0,0.0,64.8,64.8,100.0,100.0,5479.0,302.0,Algorithms
affinity,Tier_C,1,0.0,0.0,100.0,69.8,69.8,100.0,100.0,1801.0,82.0,Algorithms
affirm,Tier_C,10,10.0,60.0,30.0,56.54,54.45,67.5,62.5,7507.1,1174.0,Algorithms
agoda,Tier_B,44,34.09090909090909,61.36363636363637,4.545454545454546,59.824999999999996,59.8,63.63636363636363,62.5,13696.119047619048,874.9285714285714,Algorithms
airbnb,Tier_B,61,18.0327868852459,47.540983606557376,34.42622950819672,54.08688524590164,53.2,65.3688524590164,75.0,8171.0,860.672131147541,Algorithms
airbus,Tier_C,4,50.0,50.0,0.0,48.800000000000004,42.1,100.0,100.0,15543.25,575.75,Algorithms
airtel,Tier_C,7,14.285714285714286,85.71428571428571,0.0,56.24285714285714,56.8,71.42857142857143,75.0,21507.85714285714,1559.857142857143,Algorithms
airwallex,Tier_C,1,0.0,100.0,0.0,68.7,68.7,37.5,37.5,13819.0,349.0,Algorithms
akamai,Tier_C,10,50.0,50.0,0.0,63.44999999999999,61.5,61.25,50.0,20191.4,1192.1,Algorithms
akuna-capital,Tier_C,17,5.882352941176471,47.05882352941177,47.05882352941177,55.323529411764696,56.4,91.17647058823529,100.0,4058.529411764706,265.7647058823529,Algorithms
alibaba,Tier_C,5,0.0,80.0,20.0,53.120000000000005,50.1,90.0,100.0,5060.4,409.8,Algorithms
allincall,Tier_C,1,100.0,0.0,0.0,79.4,79.4,100.0,100.0,611.0,73.0,Algorithms
alphonso,Tier_C,1,0.0,100.0,0.0,47.2,47.2,100.0,100.0,1022.0,135.0,Algorithms
alten,Tier_C,1,100.0,0.0,0.0,47.6,47.6,62.5,62.5,19118.0,4720.0,Algorithms
altimetrik,Tier_C,4,75.0,25.0,0.0,61.825,63.5,81.25,81.25,25112.75,1148.0,Algorithms
amadeus,Tier_C,2,50.0,50.0,0.0,74.0,74.0,81.25,81.25,6969.5,250.5,Algorithms
